graph_core,theo,,c47921d18e3b269886d0d301a746bc937c5dff2c
mcp_interface,theo,,c47921d18e3b269886d0d301a746bc937c5dff2c
cli_commands,theo,,c47921d18e3b269886d0d301a746bc937c5dff2c
ui_server,theo,,c47921d18e3b269886d0d301a746bc937c5dff2c
skills_bundle,theo,,c47921d18e3b269886d0d301a746bc937c5dff2c
tests,theo,,c47921d18e3b269886d0d301a746bc937c5dff2c
graph_schema,graph_core,,c47921d18e3b269886d0d301a746bc937c5dff2c
graph_db,graph_core,,c47921d18e3b269886d0d301a746bc937c5dff2c
cow_lifecycle,graph_core,,c47921d18e3b269886d0d301a746bc937c5dff2c
git_helpers,graph_core,,c47921d18e3b269886d0d301a746bc937c5dff2c
project_init,cli_commands,,c47921d18e3b269886d0d301a746bc937c5dff2c
semantic_layer,theo,"Semantic layer is one of the top-level subsystems of Theo, alongside graph_core, mcp_interface, cli_commands, skills_bundle, tests, and ui_server.",3836673
